Content,Area,MajorPollutant,AQI,ForecastDate,MinorPollutant,MinorPollutantAQI,PublishTime
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",高屏,,50,2019-06-13,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",高屏,,35,2019-06-12,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",雲嘉南,,50,2019-06-14,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",雲嘉南,,50,2019-06-13,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",雲嘉南,,35,2019-06-12,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",中部,,50,2019-06-14,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",中部,,50,2019-06-13,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",中部,,35,2019-06-12,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",竹苗,,35,2019-06-14,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",竹苗,,40,2019-06-13,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",竹苗,,35,2019-06-12,,,2019-06-11 22:00
"1.今(11)日受梅雨鋒面接近及西南風增強，水平擴散條件較好及降水洗除作用顯著，各地空氣品質多為良好等級。依18時監測結果，北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及澎湖、金門為「良好」等級；馬祖地區為「普通」等級。\r2.依氣象局11日18時資料：12日受滯留鋒面及西南氣流持續影響，全臺有雨，並有較強降雨發生的機會，受降水洗除作用影響，空氣品質大致較佳，但仍須視降雨時間及強度而變化；金門及馬祖易有局部霧或低雲影響能見度。北部、竹苗、中部、雲嘉南、高屏、宜蘭、花東空品區及金門、澎湖為「良好」等級；馬祖地區為「普通」等級。\r3.13日仍受滯留鋒面及西南氣流影響，全臺有雨，並有較強降雨發生的機會，污染物受降水洗除影響，空氣品質大致良好，但將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。\r4.14日鋒面逐漸南移至巴士海峽，西半部及東北部有陣雨或雷雨，其他地區有短暫陣雨或雷雨，污染物受降水洗除影響，空氣品質大致良好，但晚間降雨情況逐漸趨緩，污染物濃度將視降雨時間及強度而變化。北部、竹苗、中部、雲嘉南、高屏、宜蘭及花東空品區為「良好」等級。",北部,,35,2019-06-14,,,2019-06-11 22:00
